City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
viedma,AR,-40.8135,-62.9967,69.91,24,80,12.33,1644596048
quatre cocos,MU,-20.2078,57.7625,77.09,77,80,4.92,1644596048
paragominas,BR,-2.9667,-47.4833,87.48,54,82,3.62,1644596049
tigil,RU,57.8,158.6667,-19.16,100,78,1.5,1644596049
chino valley,US,34.7575,-112.4538,51.94,46,0,6.91,1644596049
bahia blanca,AR,-38.7196,-62.2724,68.77,36,100,16.2,1644596050
alta floresta,BR,-9.8756,-56.0861,76.62,89,100,2.98,1644596050
luis correia,BR,-2.8792,-41.6669,86.0,79,100,10.36,1644596050
selma,US,36.5708,-119.6121,54.9,53,0,0.76,1644596051
nizhniy kuranakh,RU,58.8353,125.4869,-19.07,99,100,1.45,1644596051
bonavista,CA,48.6499,-53.1147,39.11,81,100,14.16,1644596051
cassia,BR,-20.5831,-46.9219,69.94,93,100,3.4,1644596051
velikiy ustyug,RU,60.7644,46.3106,26.24,97,100,6.38,1644596052
woodward,US,36.4337,-99.3904,52.83,55,0,21.85,1644596052
sorrento,IT,40.626,14.3744,58.08,89,51,5.61,1644596052
mackay,AU,-21.15,149.2,72.68,72,24,8.48,1644596053
tortoli,IT,39.9256,9.6572,58.98,63,37,1.34,1644596053
balikpapan,ID,-1.2675,116.8289,74.48,88,100,2.24,1644596053
pacific grove,US,36.6177,-121.9166,63.28,50,0,7.0,1644595777
muros,ES,42.7762,-9.0603,61.99,74,90,4.68,1644596054
lasa,IT,46.6166,10.7002,48.11,89,92,8.3,1644596054
barsi,IN,18.2333,75.7,75.99,29,9,12.3,1644596054
honiara,SB,-9.4333,159.95,75.92,97,100,3.38,1644596054
sitka,US,57.0531,-135.33,37.29,75,100,10.36,1644596055
burnie,AU,-41.0667,145.9167,59.76,83,98,11.16,1644596055
princeton,US,25.5384,-80.4089,80.02,71,75,11.5,1644596055
dumas,US,35.8656,-101.9732,49.35,40,13,41.43,1644595977
nuuk,GL,64.1835,-51.7216,30.81,93,100,42.57,1644596004
giyani,ZA,-23.3025,30.7187,89.13,22,2,10.71,1644596056
kostomuksha,RU,64.571,30.5767,16.32,88,53,9.66,1644596056
aswan,EG,24.0934,32.907,62.65,27,0,10.89,1644596056
ialibu,PG,-6.2821,143.9935,52.79,83,100,2.59,1644596057
chiang rai,TH,19.9167,99.9167,68.04,83,0,1.9,1644596057
nelson,NZ,-41.2833,173.2833,68.29,92,100,1.19,1644596057
progreso,MX,21.2833,-89.6667,77.11,64,8,8.21,1644596058
sawakin,SD,19.1059,37.3321,71.44,68,86,15.1,1644596058
port hueneme,US,34.1478,-119.1951,74.95,33,0,9.22,1644596058
hit,IQ,33.6416,42.8251,58.32,40,30,9.15,1644596058
hastings,GB,50.8552,0.5729,45.79,60,48,7.45,1644596059
llangefni,GB,53.2556,-4.3106,45.77,76,75,27.63,1644596059
zhangjiakou,CN,40.81,114.8794,26.33,53,71,4.9,1644596059
ponta delgada,PT,37.7333,-25.6667,61.52,67,20,5.75,1644596060
guiberoua,CI,6.2392,-6.1727,99.18,17,38,5.5,1644596060
buala,SB,-8.145,159.5921,77.13,91,100,6.96,1644596060
serenje,ZM,-13.2325,30.2352,65.59,90,100,2.93,1644596061
fort wellington,GY,6.4,-57.6,82.31,64,94,11.25,1644596061
parintins,BR,-2.6283,-56.7358,86.16,66,91,3.94,1644596061
portland,US,45.5234,-122.6762,45.75,90,75,4.61,1644595464
biltine,TD,14.5333,20.9167,85.39,8,4,8.77,1644596062
rio pardo,BR,-29.9897,-52.3781,99.79,28,0,1.86,1644596062
tahta,EG,26.7693,31.5021,61.11,31,0,10.6,1644596062
alofi,NU,-19.0595,-169.9187,80.98,72,20,13.89,1644596063
namwala,ZM,-15.7504,26.4384,72.61,88,95,4.92,1644596063
lebedyn,UA,50.5852,34.4849,34.41,99,100,8.59,1644596063
tuatapere,NZ,-46.1333,167.6833,55.09,86,93,5.97,1644596064
lamtah,TN,35.6667,10.8833,60.57,67,0,10.36,1644596064
marawi,PH,7.9986,124.2928,66.65,96,52,0.83,1644596064
pimentel,PE,-6.8367,-79.9342,80.89,50,0,13.8,1644596065
saint-francois,FR,46.4154,3.9054,45.84,56,40,11.5,1644596065
bonaventure,CA,48.0457,-65.4926,33.35,79,9,13.62,1644596065
hami,CN,42.8,93.45,29.77,54,97,2.51,1644596066
izumo,JP,35.3667,132.7667,40.06,76,45,3.22,1644596066
tombouctou,ML,20.0,-3.0,77.97,11,6,16.35,1644596066
mayumba,GA,-3.432,10.6554,81.09,75,92,8.08,1644596066
mount isa,AU,-20.7333,139.5,78.57,53,100,1.14,1644596067
mecca,SA,21.4267,39.8261,70.47,45,0,14.67,1644595770
arantangi,IN,10.1667,78.9833,75.29,87,88,11.32,1644596067
aklavik,CA,68.2191,-135.0107,-25.65,89,92,4.54,1644596067
lima,PE,-12.0432,-77.0282,76.39,78,0,4.61,1644595876
santa isabel,BR,-23.3156,-46.2214,80.31,68,85,4.38,1644596068
riyadh,SA,24.6877,46.7219,71.74,17,0,5.84,1644595897
puerto madryn,AR,-42.7692,-65.0385,70.07,23,1,3.13,1644595853
komsomolskiy,UZ,40.4272,71.7189,42.22,46,100,3.76,1644596068
cap malheureux,MU,-19.9842,57.6142,79.29,76,91,3.78,1644596069
dunmore,US,41.4198,-75.6324,47.25,50,0,8.05,1644596069
dakoro,NE,14.5106,6.765,85.03,7,5,14.25,1644596069
alice springs,AU,-23.7,133.8833,69.35,60,0,0.0,1644595835
nyurba,RU,63.2842,118.3319,-6.77,98,100,3.76,1644596069
saint-joseph,RE,-21.3667,55.6167,77.38,79,45,5.41,1644596070
sribne,UA,50.6638,32.9187,33.71,92,100,10.67,1644596070
nouadhibou,MR,20.931,-17.0347,73.85,49,89,5.39,1644596070
pasni,PK,25.2631,63.471,71.44,64,0,11.16,1644596071
doha,QA,25.2867,51.5333,67.98,77,0,6.91,1644595795
petrolina,BR,-9.3986,-40.5008,86.05,66,75,9.22,1644596071
bulgan,MN,48.8125,103.5347,-13.23,98,50,2.57,1644596071
constantine,DZ,36.365,6.6147,54.66,58,78,10.49,1644596041
merauke,ID,-8.4667,140.3333,76.17,89,67,5.19,1644596072
pangkalanbuun,ID,-2.6833,111.6167,74.26,96,100,2.3,1644596072
jackson,US,42.4165,-122.8345,63.64,86,0,3.44,1644596072
shieli,KZ,44.1667,66.75,38.37,89,100,12.55,1644596073
lorengau,PG,-2.0226,147.2712,79.75,82,100,5.66,1644596073
minsk,BY,53.9,27.5667,33.55,93,97,6.69,1644595801
hobyo,SO,5.3505,48.5268,77.11,65,1,20.04,1644596074
altamira,BR,-3.2033,-52.2064,83.05,78,75,3.0,1644596074
paraiso,CR,9.8383,-83.8656,80.15,67,71,5.59,1644596074
opuwo,NA,-18.0607,13.84,79.77,55,99,1.68,1644596075
vao,NC,-22.6667,167.4833,80.55,85,100,22.46,1644596075
peniche,PT,39.3558,-9.3811,70.75,57,49,4.38,1644596075
harper,LR,4.375,-7.7169,84.88,64,52,9.35,1644596077
yurimaguas,PE,-5.9,-76.0833,84.36,70,20,4.61,1644596078
sidi ali,DZ,36.0998,0.4206,53.58,74,100,6.96,1644596078
businga,CD,3.3333,20.8833,96.31,19,54,2.01,1644596078
tungor,RU,53.3808,142.9564,13.35,93,99,4.18,1644596078
blagoyevo,RU,63.3667,47.9167,20.73,95,100,7.47,1644596079
grants pass,US,42.439,-123.3284,65.08,68,100,3.44,1644596079
hervey bay,AU,-25.2986,152.8535,70.03,64,0,20.92,1644596079
tommot,RU,58.9564,126.2925,-18.96,100,99,1.57,1644595931
yerbogachen,RU,61.2767,108.0108,-11.58,97,97,3.38,1644595931
bereda,ES,43.2686,-7.5406,58.01,87,97,4.29,1644596080
qasigiannguit,GL,68.8193,-51.1922,23.25,79,100,4.07,1644596080
moose factory,CA,51.2585,-80.6094,1.4,78,100,12.66,1644596080
cascais,PT,38.6979,-9.4215,70.5,63,20,15.01,1644595960
dubti,ET,11.7361,41.0853,87.91,28,2,4.56,1644596081
atikokan,CA,48.7555,-91.6216,0.21,88,100,14.34,1644596081
nizhniy tsasuchey,RU,50.5167,115.1333,-10.14,91,65,6.44,1644596081
ganzhou,CN,28.8184,115.4327,43.56,95,100,2.51,1644596082
teguldet,RU,57.3064,88.1667,-9.33,99,18,4.54,1644596082
baghdad,IQ,33.3406,44.4009,62.51,36,40,6.91,1644596082
frankfurt,DE,50.1167,8.6833,44.37,59,20,11.5,1644595874
izazi,TZ,-7.2,35.7333,71.15,88,100,3.8,1644596083
magadi,IN,12.9667,77.2333,70.14,47,4,11.01,1644596083
makakilo city,US,21.3469,-158.0858,63.61,83,0,5.75,1644596083
shimoda,JP,34.6667,138.95,39.11,77,99,8.41,1644596083
dudinka,RU,69.4058,86.1778,-7.85,85,100,17.38,1644596084
kumluca,TR,36.3703,30.2869,55.67,68,0,3.44,1644596084
sur,OM,22.5667,59.5289,70.38,50,0,7.09,1644596084
avera,US,33.194,-82.5271,63.91,48,79,7.34,1644596085
micheweni,TZ,-4.9667,39.8333,80.73,73,6,15.48,1644596085
oriximina,BR,-1.7656,-55.8661,84.7,70,55,3.38,1644596085
khasan,RU,42.4308,130.6434,26.22,52,4,21.0,1644596085
kamloops,CA,50.6665,-120.3192,27.75,69,40,6.91,1644596086
novopokrovka,UA,49.8425,36.5477,37.78,96,100,10.31,1644596086
sumenep,ID,-7.0167,113.8667,76.03,91,100,4.74,1644596086
wake forest,US,35.9799,-78.5097,64.24,34,0,11.5,1644596087
olaszliszka,HU,48.25,21.4333,42.53,79,79,14.2,1644596087
nishihara,JP,26.1842,127.7558,65.48,72,100,8.05,1644596087
champerico,GT,14.3,-91.9167,88.75,57,0,5.57,1644596087
stephenville,US,32.2207,-98.2023,62.92,46,0,11.99,1644596088
baruun-urt,MN,46.6806,113.2792,-4.77,98,95,6.38,1644596088
erdenet,MN,49.0333,104.0833,-15.07,100,41,1.79,1644596088
menongue,AO,-14.6585,17.691,73.0,66,99,2.91,1644596089
southampton,GB,50.904,-1.4043,47.66,73,20,9.22,1644595923
barreirinhas,BR,-2.7469,-42.8264,87.73,54,59,10.4,1644596089
dawei,MM,14.0833,98.2,74.5,70,66,1.99,1644596089
wajid,SO,3.8093,43.2471,85.93,17,21,11.16,1644596090
abu samrah,SY,35.3029,37.1841,49.98,61,2,4.7,1644596090
kjollefjord,NO,70.9457,27.3465,31.82,74,75,20.71,1644596090
payo,ID,-3.7508,103.6372,71.49,91,93,2.17,1644596091
koster,ZA,-25.863,26.8976,78.42,33,85,4.68,1644596091
isangel,VU,-19.55,169.2667,79.68,85,100,14.45,1644596091
nagar karnul,IN,16.4821,78.3247,74.05,45,10,8.52,1644596091
yenagoa,NG,4.9247,6.2642,96.51,31,60,3.94,1644596092
san juan,AR,-31.5375,-68.5364,70.74,55,95,16.4,1644596077
muzhi,RU,65.3667,64.6667,5.25,83,100,15.35,1644596092
muroto,JP,33.2833,134.15,48.81,62,23,11.07,1644596093
kirensk,RU,57.7853,108.1119,-26.18,100,29,0.85,1644596093
dicabisagan,PH,17.0818,122.4157,75.02,84,89,5.55,1644596093
la palma,US,33.8464,-118.0467,75.42,51,0,1.01,1644596094
alyangula,AU,-13.8483,136.4192,83.59,73,15,13.76,1644596094
vila franca do campo,PT,37.7167,-25.4333,61.21,62,100,1.43,1644596094
gazojak,TM,41.1875,61.4036,40.44,70,81,15.17,1644596094
gezing,AT,47.9178,13.1299,39.11,87,75,6.91,1644596095
razdolnaya,RU,45.3799,39.5557,43.74,77,59,12.26,1644596095
moron,AR,-34.6534,-58.6198,83.8,57,52,8.12,1644596095
margate,GB,51.3813,1.3862,45.75,64,32,3.0,1644595939
montague,US,42.5356,-72.5351,49.03,57,48,9.04,1644596096
buluang,PH,13.3068,123.3425,73.99,91,79,4.29,1644596096
usinsk,RU,65.9939,57.5281,13.64,84,100,17.52,1644596096
santa ana,US,33.7456,-117.8678,75.15,42,0,3.44,1644596036
santa maria,BR,-29.6842,-53.8069,94.42,29,47,2.82,1644596097
kuusamo,FI,65.9667,29.1833,15.84,86,40,6.91,1644596097
goundam,ML,16.4145,-3.6708,85.46,8,1,12.41,1644596097
